创建了新的github文件
再次创建
NO. 	X(m) 	Y(m) 	Z(m) 	T(ms) 	Voltage(nv/(Am^2)) 	Distance(m) 	Resistivity(ohm.m) 	Depth(m)
5 	0.0 	5.0 	0.0 	1.03300E00 	1.23888E02 	5.0000 	0.0247 	-3.5703
6 	0.0 	6.0 	0.0 	7.50000E-03 	3.55276E07 	6.0000 	0.0208 	-0.2796
6 	0.0 	6.0 	0.0 	1.00000E-02 	3.40598E07 	6.0000 	0.0133 	-0.2576
6 	0.0 	6.0 	0.0 	1.30000E-02 	3.34016E07 	6.0000 	0.0087 	-0.2376
6 	0.0 	6.0 	0.0 	1.65000E-02 	3.14548E07 	6.0000 	0.0061 	-0.2239
6 	0.0 	6.0 	0.0 	2.10000E-02 	2.96583E07 	6.0000 	0.0042 	-0.2107
6 	0.0 	6.0 	0.0 	2.70000E-02 	2.76798E07 	6.0000 	0.0029 	-0.1983
6 	0.0 	6.0 	0.0 	3.50000E-02 	2.50778E07 	6.0000 	0.0020 	-0.1879
6 	0.0 	6.0 	0.0 	4.55000E-02 	2.20038E07 	6.0000 	0.0014 	-0.1799
6 	0.0 	6.0 	0.0 	5.90000E-02 	1.86254E07 	6.0000 	0.0010 	-0.1744
6 	0.0 	6.0 	0.0 	7.65000E-02 	1.50031E07 	6.0000 	0.0008 	-0.1718
6 	0.0 	6.0 	0.0 	1.00000E-01 	1.12302E07 	6.0000 	0.0006 	-0.1731
6 	0.0 	6.0 	0.0 	1.32000E-01 	7.57791E06 	6.0000 	0.0005 	-0.1799
6 	0.0 	6.0 	0.0 	1.75500E-01 	4.44707E06 	6.0000 	0.0004 	-0.1954
6 	0.0 	6.0 	0.0 	2.34000E-01 	2.17774E06 	6.0000 	0.0004 	-0.2253
6 	0.0 	6.0 	0.0 	3.13000E-01 	8.36303E05 	6.0000 	0.0005 	-0.2813
6 	0.0 	6.0 	0.0 	4.20500E-01 	2.29933E05 	6.0000 	0.0007 	-0.3920
6 	0.0 	6.0 	0.0 	5.66500E-01 	4.02818E04 	6.0000 	0.0014 	-0.6343
6 	0.0 	6.0 	0.0 	7.64500E-01 	3.86924E03 	6.0000 	0.0041 	-1.2534
6 	0.0 	6.0 	0.0 	1.03300E00 	1.52205E02 	6.0000 	0.0215 	-3.3336
7 	0.0 	7.0 	0.0 	7.50000E-03 	3.56242E07 	7.0000 	0.0208 	-0.2794
7 	0.0 	7.0 	0.0 	1.00000E-02 	3.41038E07 	7.0000 	0.0133 	-0.2575
7 	0.0 	7.0 	0.0 	1.30000E-02 	3.34298E07 	7.0000 	0.0087 	-0.2375
7 	0.0 	7.0 	0.0 	1.65000E-02 	3.14768E07 	7.0000 	0.0061 	-0.2238
7 	0.0 	7.0 	0.0 	2.10000E-02 	2.96835E07 	7.0000 	0.0042 	-0.2106
7 	0.0 	7.0 	0.0 	2.70000E-02 	2.77045E07 	7.0000 	0.0029 	-0.1982
7 	0.0 	7.0 	0.0 	3.50000E-02 	2.50995E07 	7.0000 	0.0020 	-0.1879
7 	0.0 	7.0 	0.0 	4.55000E-02 	2.20218E07 	7.0000 	0.0014 	-0.1798
7 	0.0 	7.0 	0.0 	5.90000E-02 	1.86410E07 	7.0000 	0.0010 	-0.1743
7 	0.0 	7.0 	0.0 	7.65000E-02 	1.50163E07 	7.0000 	0.0008 	-0.1718
7 	0.0 	7.0 	0.0 	1.00000E-01 	1.12397E07 	7.0000 	0.0006 	-0.1730
7 	0.0 	7.0 	0.0 	1.32000E-01 	7.58477E06 	7.0000 	0.0005 	-0.1799
7 	0.0 	7.0 	0.0 	1.75500E-01 	4.45128E06 	7.0000 	0.0004 	-0.1954
7 	0.0 	7.0 	0.0 	2.34000E-01 	2.17990E06 	7.0000 	0.0004 	-0.2252
7 	0.0 	7.0 	0.0 	3.13000E-01 	8.36932E05 	7.0000 	0.0005 	-0.2812
7 	0.0 	7.0 	0.0 	4.20500E-01 	2.30108E05 	7.0000 	0.0007 	-0.3919
7 	0.0 	7.0 	0.0 	5.66500E-01 	4.05608E04 	7.0000 	0.0014 	-0.6329
7 	0.0 	7.0 	0.0 	7.64500E-01 	3.97821E03 	7.0000 	0.0040 	-1.2418
7 	0.0 	7.0 	0.0 	1.03300E00 	1.01638E02 	7.0000 	0.0282 	-3.8139
8 	0.0 	8.0 	0.0 	7.50000E-03 	3.59148E07 	8.0000 	0.0207 	-0.2786
8 	0.0 	8.0 	0.0 	1.00000E-02 	3.43020E07 	8.0000 	0.0132 	-0.2570
8 	0.0 	8.0 	0.0 	1.30000E-02 	3.35551E07 	8.0000 	0.0087 	-0.2372
8 	0.0 	8.0 	0.0 	1.65000E-02 	3.16082E07 	8.0000 	0.0061 	-0.2235
8 	0.0 	8.0 	0.0 	2.10000E-02 	2.98097E07 	8.0000 	0.0042 	-0.2103
8 	0.0 	8.0 	0.0 	2.70000E-02 	2.78201E07 	8.0000 	0.0029 	-0.1979
8 	0.0 	8.0 	0.0 	3.50000E-02 	2.52031E07 	8.0000 	0.0020 	-0.1876
8 	0.0 	8.0 	0.0 	4.55000E-02 	2.21113E07 	8.0000 	0.0014 	-0.1796
8 	0.0 	8.0 	0.0 	5.90000E-02 	1.87161E07 	8.0000 	0.0010 	-0.1741
8 	0.0 	8.0 	0.0 	7.65000E-02 	1.50742E07 	8.0000 	0.0008 	-0.1716
8 	0.0 	8.0 	0.0 	1.00000E-01 	1.12820E07 	8.0000 	0.0006 	-0.1728
8 	0.0 	8.0 	0.0 	1.32000E-01 	7.61219E06 	8.0000 	0.0005 	-0.1796
8 	0.0 	8.0 	0.0 	1.75500E-01 	4.46618E06 	8.0000 	0.0004 	-0.1951
8 	0.0 	8.0 	0.0 	2.34000E-01 	2.18645E06 	8.0000 	0.0004 	-0.2250
8 	0.0 	8.0 	0.0 	3.13000E-01 	8.39311E05 	8.0000 	0.0005 	-0.2809
8 	0.0 	8.0 	0.0 	4.20500E-01 	2.30716E05 	8.0000 	0.0007 	-0.3916
8 	0.0 	8.0 	0.0 	5.66500E-01 	4.05376E04 	8.0000 	0.0014 	-0.6330
8 	0.0 	8.0 	0.0 	7.64500E-01 	3.82196E03 	8.0000 	0.0041 	-1.2585
8 	0.0 	8.0 	0.0 	1.03300E00 	5.36003E01 	8.0000 	0.0431 	-4.7206
9 	0.0 	9.0 	0.0 	7.50000E-03 	3.57727E07 	9.0000 	0.0208 	-0.2790
9 	0.0 	9.0 	0.0 	1.00000E-02 	3.42381E07 	9.0000 	0.0132 	-0.2572
9 	0.0 	9.0 	0.0 	1.30000E-02 	3.35436E07 	9.0000 	0.0087 	-0.2373
9 	0.0 	9.0 	0.0 	1.65000E-02 	3.15885E07 	9.0000 	0.0061 	-0.2236
9 	0.0 	9.0 	0.0 	2.10000E-02 	2.97884E07 	9.0000 	0.0042 	-0.2104
9 	0.0 	9.0 	0.0 	2.70000E-02 	2.78007E07 	9.0000 	0.0029 	-0.1980
9 	0.0 	9.0 	0.0 	3.50000E-02 	2.51862E07 	9.0000 	0.0020 	-0.1876
9 	0.0 	9.0 	0.0 	4.55000E-02 	2.20964E07 	9.0000 	0.0014 	-0.1796
9 	0.0 	9.0 	0.0 	5.90000E-02 	1.87044E07 	9.0000 	0.0010 	-0.1741
9 	0.0 	9.0 	0.0 	7.65000E-02 	1.50653E07 	9.0000 	0.0008 	-0.1716
9 	0.0 	9.0 	0.0 	1.00000E-01 	1.12757E07 	9.0000 	0.0006 	-0.1729
